,start_time,end_time,P_total
88,2022-08-15 07:24:00,2022-08-15 12:22:00,126.074
447,2024-09-01 09:28:00,2024-09-01 13:38:00,80.575
145,2022-10-18 18:44:00,2022-10-18 20:41:00,71.513
228,2023-06-29 08:20:00,2023-06-29 10:10:00,68.763
712,2025-11-08 08:42:00,2025-11-08 11:26:00,63.808
192,2023-04-15 13:18:00,2023-04-15 14:38:00,62.223
539,2025-02-11 17:44:00,2025-02-11 19:25:00,55.666
318,2023-10-02 01:48:00,2023-10-02 08:02:00,51.75
731,2026-01-06 07:51:00,2026-01-06 09:27:00,50.952
281,2023-08-29 12:28:00,2023-08-29 15:52:00,49.603
709,2025-11-04 14:23:00,2025-11-04 18:23:00,49.247
221,2023-06-22 14:20:00,2023-06-22 16:00:00,47.022
487,2024-10-09 07:03:00,2024-10-09 07:38:00,45.95
338,2023-10-23 08:09:00,2023-10-23 11:01:00,44.593
225,2023-06-27 07:41:00,2023-06-27 08:31:00,44.472
171,2022-11-22 05:30:00,2022-11-22 10:55:00,44.373
304,2023-09-19 09:48:00,2023-09-19 11:18:00,43.828
533,2024-12-27 07:47:00,2024-12-27 11:35:00,43.151
336,2023-10-22 07:48:00,2023-10-22 09:53:00,42.875
273,2023-08-17 08:19:00,2023-08-17 09:49:00,42.416
641,2025-09-02 12:27:00,2025-09-02 16:44:00,42.047
505,2024-10-27 00:26:00,2024-10-27 03:08:00,41.649
582,2025-06-10 09:46:00,2025-06-10 14:04:00,39.788
343,2023-10-29 06:11:00,2023-10-29 08:45:00,39.649
541,2025-02-12 19:05:00,2025-02-12 22:03:00,38.873
57,2022-07-07 09:14:00,2022-07-07 11:42:00,38.512
508,2024-10-27 19:01:00,2024-10-27 22:01:00,37.976
625,2025-08-20 18:47:00,2025-08-20 22:59:00,37.768
126,2022-09-25 10:46:00,2022-09-25 14:41:00,37.51
501,2024-10-20 11:49:00,2024-10-20 16:22:00,37.365
623,2025-08-20 10:05:00,2025-08-20 12:18:00,37.251
681,2025-10-08 09:08:00,2025-10-08 13:21:00,36.831
299,2023-09-14 09:12:00,2023-09-14 12:39:00,36.79
429,2024-08-09 09:14:00,2024-08-09 11:04:00,36.523
78,2022-08-01 06:32:00,2022-08-01 07:31:00,36.49
99,2022-08-30 07:54:00,2022-08-30 08:50:00,35.956
235,2023-07-01 12:22:00,2023-07-01 14:35:00,35.826
323,2023-10-05 10:17:00,2023-10-05 13:38:00,35.484
766,2026-06-02 08:11:00,2026-06-02 09:19:00,35.022
310,2023-09-24 11:52:00,2023-09-24 14:41:00,34.775
693,2025-10-21 13:22:00,2025-10-21 15:37:00,34.304
170,2022-11-18 14:40:00,2022-11-18 17:14:00,34.284
491,2024-10-13 08:10:00,2024-10-13 09:04:00,32.832
236,2023-07-02 07:03:00,2023-07-02 09:28:00,32.319
76,2022-07-23 08:24:00,2022-07-23 09:41:00,32.3
727,2025-12-24 08:15:00,2025-12-24 09:50:00,31.725
518,2024-11-13 02:54:00,2024-11-13 04:29:00,31.695
386,2024-06-20 12:40:00,2024-06-20 17:09:00,31.303
687,2025-10-14 10:08:00,2025-10-14 11:59:00,31.291
